Title,Platforms
Among Us,Mobile|Switch
Apex Legends,Playstation|Xbox|Switch
Aragami,Playstation|Xbox|Switch
Atom Universe,Playstation
BlobCat,Switch
Boundless,Playstation
Brawlhalla,Mobile|Playstation|Xbox|Switch
Crazy Justice,Xbox|Switch
Chess Ultra,Playstation|Xbox|Switch
Cubemen 2,Mobile|Wii U
Dawn of the Breakers,Mobile|Switch
DC Universe Online,Playstation
Dead by Daylight,Playstation|Xbox|Switch|Stadia
Dick Wilde 2,Playstation
Disc Jam,Playstation
Dreii,Wii U
Eagle Flight,Playstation
Eve: Valkyrie,Playstation
Exorder,Switch
Fantasy Strike,Playstation|Switch
Final Fantasy XIV: A Realm Reborn,Playstation
Frozen Synapse,Mobile
Games of Glory,Playstation
Gears 5,Xbox
Genesis,Playstation
GROUNDED,Xbox
Guns of Icarus:,Playstation
Gwent: The Witcher Card Game,Playstation
Halo: The Master Chief Collection,Xbox
Hero Siege,Mobile|Switch
Hex,Playstation
Hover,Playstation|Xbox|Switch
Kabounce,Playstation
Killer Instinct,Xbox
Killer Queen Black,Xbox|Switch
LevelHead,Mobile|Switch
Lightseekers,Mobile|Switch
Lucadian Chronicles,Wii U
Mantis Burn Racing,Playstation|Xbox|Switch
Microsoft Flight Simulator,Xbox
Morphies Law,Switch
Mushroom Wars 2,Mobile|Switch
NBA 2K Playgrounds 2,Xbox|Switch
Need for Speed Heat,Playstation|Xbox
Need for Speed: Hot Pursuit Remastered,Playstation|Xbox|Switch
Neverwinter Nights (Enhanced Edition),Xbox|Switch
Next Up Hero,Xbox|Switch
No Man's Sky,Playstation|Xbox
Onigiri,Switch
Overload,Playstation|Xbox
Paladins,Playstation|Xbox|Switch
Pinball FX 3,Playstation|Xbox|Switch
Portal 2,Playstation
Power Rangers: Battle for the Grid,Playstation|Xbox|Switch|Stadia
Pox Nora,Playstation
Pure Chess,Wii U|3DS
ReadySet Heroes,Playstation
Realm Royale,Playstation|Xbox|Switch
Rec Room,Mobile (iOS)|Playstation|Xbox|Oculus Quest
Riptide GP Renegade,Switch
Risk,Mobile
Rocket Arena,Playstation|Xbox
Rocket League,Playstation|Xbox|Switch
Sea of Thieves,Xbox
Shadowverse,Mobile
Siegecraft Commander,Playstation|Xbox|Switch
SMITE,Playstation|Xbox|Switch
Spacelords,Playstation|Xbox
Space Junkies,Playstation
Sparc,Playstation
Sports Bar VR,Playstation
Star Trek: Bridge Crew,Playstation
Star Wars: Squadrons,Playstation|Xbox
Street Fighter V,Playstation
Square Heroes,Playstation
Super Dungeon Bros,Playstation
Super Mega Baseball 2,Playstation|Xbox|Switch
Talisman: Digital Edition,Mobile|Switch
Touring Karts,Mobile|Playstation|Switch
Trailblazers,Playstation|Xbox|Switch
Treasure Stack,Xbox|Switch
Tooth and Tail,Playstation
Ultimate Chicken Horse,Playstation|Switch
Vainglory,Mobile
Wargroove,Playstation|Xbox|Switch
Warhammer Age of Sigmar: Champions,Mobile|Switch
War Thunder,Playstation|Xbox
Warspear,Mobile
Weapons of Mythology:Playstation,
Werewolves Within,Playstation
Yu-Gi-Oh! Duel Links,Mobile
